"Nom","ID","Image"
"Douleur et inflammation","1","douleur.png"
"Confort et prévention","2","confort.png"
"Sommeil et sérénité ","3","Sommeil-serenite.png"
"Circulation","4","circulation.png"
"Probiotiques","5","probiotiques.png"
"Toniques et Multivitamines Vitalité","6","Multivitamines.png"
"Digestion Transit Detox","7","digestion.png"
"Bio","8","bio.png"
"Voies Respiratoires & Immunité","9","immunite.png"
"Confort urinaire","10","confort-urinaire.png"
"Beauté","11","beaute.png"
"Masques et protection","12","masques.png"
"Minceur","13","minceur.png"
"CANNA","14","canna.png"
"Liposome","15","liposome.png"
